sid,Движение 21,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,БНС-НД,НОВОТО ВРЕМЕ,ОБЕДИНЕНА БЪЛГАРИЯ,СОЦИАЛДЕМ. ПАРТИЯ,РЕФОРМАТОРСКИ БЛОК,Нова България,ГЕРБ,ОБЩЕСТВО ЗА НОВА БГ,АТАКА,НДСВ,ББЦ,АБВ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА АЛТЕРНАТИВА,ДЕСНИТЕ,ДПС,Глас Народен,ПАРТИЯ НА ЗЕЛЕНИТЕ,НОВА СИЛА,БСП,ЗЕЛЕНИТЕ,ПФ (НФСБ-ВМРО),РЕПУБЛИКА БГ,независими,npn,invalid,region,municipality,municipality_name,admin_reg,station,region_name,place,ekatte,address,eligible_voters
010100001,3,2,1,1,4,1,36,0,192,1.0,13,1,24,32,3,0,0,2,2,0,2.0,87,0,30,0,1.0,0,28,01,01,Банско,00,001,-,гр.Банско,2676,-,770
010100002,9,1,1,3,1,0,45,1,194,0.0,11,0,23,20,1,1,0,0,6,1,0.0,89,2,51,0,0.0,0,26,01,01,Банско,00,002,-,гр.Банско,2676,-,714
010100003,1,2,1,0,1,0,37,0,236,2.0,6,0,28,16,0,0,0,1,3,1,0.0,84,1,29,0,7.0,0,38,01,01,Банско,00,003,-,гр.Банско,2676,-,807
010100004,4,1,0,0,0,1,36,4,284,2.0,13,1,43,17,0,0,0,5,1,1,2.0,47,1,58,1,7.0,0,46,01,01,Банско,00,004,-,гр.Банско,2676,-,963
010100005,1,1,0,0,0,0,41,2,190,0.0,11,1,19,30,2,1,1,0,1,2,0.0,44,5,24,1,4.0,0,23,01,01,Банско,00,005,-,гр.Банско,2676,-,648
010100006,1,1,1,0,0,0,49,4,174,3.0,6,1,14,15,0,0,0,0,1,2,0.0,47,0,12,0,0.0,0,33,01,01,Банско,00,006,-,гр.Банско,2676,-,541
010100007,8,3,1,1,1,2,20,2,188,2.0,13,1,16,21,1,0,0,1,1,1,1.0,76,1,28,0,6.0,0,28,01,01,Банско,00,007,-,гр.Банско,2676,-,689
010100008,4,1,1,0,1,1,40,2,203,1.0,11,0,29,18,0,1,0,0,5,0,1.0,46,0,25,1,0.0,0,28,01,01,Банско,00,008,-,гр.Банско,2676,-,670
010100009,14,0,4,1,2,0,21,0,308,0.0,15,0,31,22,2,0,0,25,3,0,0.0,64,1,40,2,2.0,0,70,01,01,Банско,00,009,-,гр.Банско,2676,-,1029
010100010,3,2,1,0,0,3,47,3,219,1.0,13,1,31,21,0,0,1,10,3,0,1.0,75,2,40,0,1.0,0,50,01,01,Банско,00,010,-,гр.Банско,2676,-,924
010100011,0,4,3,1,2,1,19,3,248,0.0,14,0,76,16,1,1,0,4,1,0,1.0,101,1,37,0,1.0,0,35,01,01,Банско,00,011,-,гр.Добринище,21498,-,566
010100012,0,2,1,0,0,0,24,2,236,0.0,6,1,49,15,0,9,0,12,0,0,1.0,70,0,30,0,0.0,0,42,01,01,Банско,00,012,-,гр.Добринище,21498,-,899
010100013,3,3,0,3,1,1,13,1,194,1.0,14,0,37,7,1,1,0,25,2,1,0.0,76,1,27,0,2.0,0,33,01,01,Банско,00,013,-,гр.Добринище,21498,-,710
010100014,0,0,0,0,0,0,0,0,11,0.0,0,0,2,1,0,0,0,1,0,0,0.0,4,0,5,0,0.0,0,3,01,01,Банско,00,014,-,с.Гостун,17381,-,44
010100015,0,1,0,0,0,0,0,0,19,0.0,0,0,1,0,0,0,0,0,0,0,0.0,16,1,1,0,0.0,0,7,01,01,Банско,00,015,-,с.Осеново,54136,-,67
010100016,0,0,0,0,0,0,0,0,29,0.0,0,0,0,0,0,0,1,2,0,0,0.0,3,0,13,0,1.0,0,15,01,01,Банско,00,016,-,с.Обидим,53059,-,91
010100017,0,1,4,0,1,0,0,0,75,0.0,1,1,2,1,0,0,0,3,0,0,0.0,43,0,3,0,1.0,0,23,01,01,Банско,00,017,-,с.Кремен,39614,-,202
010100018,0,0,0,0,0,0,1,0,75,0.0,0,0,13,8,1,0,0,8,0,0,0.0,18,1,14,0,0.0,0,10,01,01,Банско,00,018,-,с.Места,47857,-,213
010100019,1,0,0,1,0,0,6,0,18,0.0,0,0,8,0,0,0,1,266,0,0,0.0,19,0,0,0,4.0,0,58,01,01,Банско,00,019,-,с.Филипово,76090,-,532
010200001,1,0,0,0,0,0,10,0,92,1.0,6,2,18,23,0,1,0,55,1,0,0.0,96,0,32,0,1.0,0,20,01,02,Белица,00,001,-,гр.Белица,3504,-,624
010200002,1,0,3,2,2,0,13,0,94,1.0,2,1,35,37,0,11,0,26,2,1,0.0,54,0,14,0,0.0,0,133,01,02,Белица,00,002,-,гр.Белица,3504,-,784
010200003,0,1,0,0,0,1,20,0,107,0.0,7,1,22,13,0,0,0,113,2,0,0.0,116,0,19,0,0.0,0,31,01,02,Белица,00,003,-,гр.Белица,3504,-,771
010200004,0,2,1,0,0,0,15,0,107,0.0,1,1,16,7,0,1,0,133,0,0,0.0,61,1,20,0,0.0,0,56,01,02,Белица,00,004,-,гр.Белица,3504,-,634
010200005,0,0,3,0,0,0,4,0,39,0.0,0,0,1,1,0,0,0,404,0,0,0.0,4,0,2,0,0.0,0,55,01,02,Белица,00,005,-,с.Дагоново,20064,-,608
010200006,1,0,0,0,0,0,4,1,27,0.0,2,0,1,1,0,0,1,403,0,0,1.0,6,0,0,0,0.0,0,46,01,02,Белица,00,006,-,с.Краище,39270,-,718
010200007,0,0,2,0,0,0,0,1,23,0.0,0,0,1,1,0,0,0,364,1,0,0.0,4,0,0,0,0.0,0,65,01,02,Белица,00,007,-,с.Краище,39270,-,684
010200008,0,0,2,0,0,0,7,0,23,0.0,1,0,1,1,0,0,0,368,0,0,0.0,3,0,0,0,0.0,0,53,01,02,Белица,00,008,-,с.Краище,39270,-,638
010200009,0,0,1,0,0,0,2,0,19,0.0,0,0,3,0,1,0,0,234,1,0,0.0,4,0,0,0,0.0,0,31,01,02,Белица,00,009,-,с.Горно Краище,77596,-,400
010200010,0,1,1,0,0,0,1,0,29,0.0,0,0,2,0,1,1,1,305,0,0,0.0,3,0,1,1,0.0,0,44,01,02,Белица,00,010,-,с.Горно Краище,77596,-,549
010200011,0,0,0,0,0,0,0,0,6,0.0,1,0,0,1,0,0,0,116,0,0,0.0,3,0,0,0,0.0,0,23,01,02,Белица,00,011,-,с.Лютово,44762,-,183
010200012,14,1,0,0,0,1,0,1,30,0.0,2,0,1,1,0,0,0,275,0,0,0.0,16,0,0,0,0.0,0,58,01,02,Белица,00,012,-,с.Бабяк,2107,-,624
010200013,1,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,16,0,0,0.0,2,0,0,0,0.0,0,7,01,02,Белица,00,013,-,с.Гълъбово,15638,-,42
